arquivo,estrutura,texto_original,codigo,descricao,dimensoes,largura,altura,profundidade,quantidade,unidade,material,area_m2,tipo,dimensao1,dimensao2
Projeto arquitetura Legal Cartão Joinville.pdf,codigo_descricao,M002 -m,M002,m,,,,,,,,,,,
Projeto arquitetura Legal Cartão Joinville.pdf,codigo_descricao,M003 -m,M003,m,,,,,,,,,,,
Projeto arquitetura Legal Cartão Joinville.pdf,codigo_descricao,M005 -m,M005,m,,,,,,,,,,,
Projeto arquitetura Legal Cartão Joinville.pdf,codigo_descricao,M006 -m,M006,m,,,,,,,,,,,
Projeto arquitetura Legal Cartão Joinville.pdf,codigo_descricao,M007 -a,M007,a,,,,,,,,,,,
Projeto arquitetura Legal Cartão Joinville.pdf,codigo_descricao,M001 -m,M001,m,,,,,,,,,,,
Projeto arquitetura Legal Cartão Joinville.pdf,codigo_descricao,M004 -l,M004,l,,,,,,,,,,,
Projeto arquitetura Legal Cartão Joinville.pdf,codigo_descricao,M008 -a,M008,a,,,,,,,,,,,
Projeto arquitetura Legal Cartão Joinville.pdf,codigo_descricao,M009 -a,M009,a,,,,,,,,,,,
Projeto arquitetura Legal Cartão Joinville.pdf,codigo_descricao,M010 -b,M010,b,,,,,,,,,,,
Projeto arquitetura Legal Cartão Joinville.pdf,codigo_descricao,M011 -a,M011,a,,,,,,,,,,,
Projeto arquitetura Legal Cartão Joinville.pdf,codigo_descricao,M012 -a,M012,a,,,,,,,,,,,
Projeto arquitetura Legal Cartão Joinville.pdf,codigo_descricao,M013 -b,M013,b,,,,,,,,,,,
Projeto arquitetura Legal Cartão Joinville.pdf,codigo_descricao,M014 -m,M014,m,,,,,,,,,,,
Projeto arquitetura Legal Cartão Joinville.pdf,codigo_descricao,M015 -b,M015,b,,,,,,,,,,,
Projeto arquitetura Legal Cartão Joinville.pdf,codigo_descricao,M007A,M007,A,,,,,,,,,,,
Projeto arquitetura Legal Cartão Joinville.pdf,codigo_descricao,"M002
A ",M002,A,,,,,,,,,,,
Projeto arquitetura Legal Cartão Joinville.pdf,codigo_descricao,"M0010,",M0010,",",,,,,,,,,,,
Projeto arquitetura Legal Cartão Joinville.pdf,codigo_descricao,"M001
A ",M001,A,,,,,,,,,,,
Projeto arquitetura Legal Cartão Joinville.pdf,codigo_descricao,"M007
E",M007,E,,,,,,,,,,,
Projeto arquitetura Legal Cartão Joinville.pdf,codigo_descricao,"M007
M",M007,M,,,,,,,,,,,
Projeto arquitetura Legal Cartão Joinville.pdf,codigo_descricao,M007 M,M007,M,,,,,,,,,,,
Projeto arquitetura Legal Cartão Joinville.pdf,codigo_descricao,"M009
M",M009,M,,,,,,,,,,,
Projeto arquitetura Legal Cartão Joinville.pdf,codigo_descricao,M005E,M005,E,,,,,,,,,,,
Projeto arquitetura Legal Cartão Joinville.pdf,codigo_descricao,M010E,M010,E,,,,,,,,,,,
Projeto arquitetura Legal Cartão Joinville.pdf,codigo_descricao,"M003
E",M003,E,,,,,,,,,,,
Projeto arquitetura Legal Cartão Joinville.pdf,codigo_descricao,"M003
M",M003,M,,,,,,,,,,,
Projeto arquitetura Legal Cartão Joinville.pdf,codigo_descricao,"M003
M",M003,M,,,,,,,,,,,
Projeto arquitetura Legal Cartão Joinville.pdf,codigo_descricao,M003A,M003,A,,,,,,,,,,,
Projeto arquitetura Legal Cartão Joinville.pdf,codigo_descricao,"M007
E",M007,E,,,,,,,,,,,
Projeto arquitetura Legal Cartão Joinville.pdf,codigo_descricao,M002 M,M002,M,,,,,,,,,,,
Projeto arquitetura Legal Cartão Joinville.pdf,codigo_descricao,M002E,M002,E,,,,,,,,,,,
Projeto arquitetura Legal Cartão Joinville.pdf,codigo_descricao,"M0120,",M0120,",",,,,,,,,,,,
Projeto arquitetura Legal Cartão Joinville.pdf,codigo_descricao,"M0130,",M0130,",",,,,,,,,,,,
Projeto arquitetura Legal Cartão Joinville.pdf,codigo_descricao,M007 M,M007,M,,,,,,,,,,,
